                                         file                       time             ave1           ave2           ave3           ave4           sig1           sig2           sig3           sig4
                 FUV20140127_070700_0000.fits        2014/01/27T07:07:00            -0.27          -0.13          -1.42          -0.32           2.91           2.97           3.05           3.00
                 FUV20140127_071200_0000.fits        2014/01/27T07:12:00            -0.21          -0.12          -1.31          -0.28           2.91           2.97           3.05           2.99
                 FUV20140127_071700_0000.fits        2014/01/27T07:17:00            -0.36          -0.12          -1.24          -0.33           2.91           2.98           3.05           3.00
                 FUV20140127_072200_0000.fits        2014/01/27T07:22:00            -0.22          -0.13          -1.29          -0.34           2.91           2.97           3.05           3.00
                 FUV20140127_072700_0000.fits        2014/01/27T07:27:00            -0.20          -0.15          -1.43          -0.30           2.91           2.98           3.05           3.00
                 FUV20140127_073200_0000.fits        2014/01/27T07:32:00            -0.12          -0.25          -1.38          -0.26           2.91           2.97           3.05           2.99
                 FUV20140127_073700_0000.fits        2014/01/27T07:37:00            -0.18          -0.11          -1.39          -0.24           2.91           2.97           3.05           2.99
                 FUV20140127_074200_0000.fits        2014/01/27T07:42:00            -0.13          -0.11          -1.44          -0.32           2.91           2.97           3.05           3.00
                 FUV20140127_074700_0000.fits        2014/01/27T07:47:00            -0.02          -0.17          -1.52          -0.26           2.91           2.98           3.06           3.00
                 FUV20140127_084434_0000.fits        2014/01/27T08:44:34            -0.20          -0.14          -1.31          -0.25           2.91           2.97           3.05           3.00
                 FUV20140127_084934_0000.fits        2014/01/27T08:49:34            -0.24          -0.10          -1.16          -0.34           2.91           2.97           3.05           3.00
                 FUV20140127_085434_0000.fits        2014/01/27T08:54:34            -0.21          -0.10          -1.11          -0.33           2.91           2.97           3.05           3.00
                 FUV20140127_085934_0000.fits        2014/01/27T08:59:34            -0.28          -0.10          -1.10          -0.29           2.91           2.97           3.05           2.99
                 FUV20140127_090434_0000.fits        2014/01/27T09:04:34            -0.24          -0.15          -1.11          -0.35           2.91           2.97           3.05           2.99
                 FUV20140127_090934_0000.fits        2014/01/27T09:09:34            -0.27          -0.13          -1.25          -0.40           2.91           2.97           3.05           2.99
                 FUV20140127_091434_0000.fits        2014/01/27T09:14:34            -0.11          -0.20          -1.18          -0.34           2.91           2.97           3.05           3.00
                 FUV20140127_091934_0000.fits        2014/01/27T09:19:34            -0.12          -0.17          -1.24          -0.27           2.91           2.97           3.05           3.00
                 FUV20140224_182914_0000.fits        2014/02/24T18:29:14            -0.17           0.01           0.40          -0.24           2.91           2.97           3.05           2.99
                 FUV20140224_183414_0000.fits        2014/02/24T18:34:14            -0.13           0.06           0.35          -0.26           2.91           2.97           3.05           2.99
                 FUV20140224_183914_0000.fits        2014/02/24T18:39:14            -0.16           0.07           0.21          -0.16           2.91           2.97           3.04           3.00
                 FUV20140224_184414_0000.fits        2014/02/24T18:44:14            -0.01           0.18           0.20          -0.18           2.91           2.97           3.05           2.99
                 FUV20140224_184914_0000.fits        2014/02/24T18:49:14            -0.07           0.17           0.18          -0.18           2.91           2.97           3.05           2.99
                 FUV20140224_185414_0000.fits        2014/02/24T18:54:14            -0.02           0.10           0.25          -0.10           2.91           2.97           3.05           2.99
                 FUV20140224_185914_0000.fits        2014/02/24T18:59:14             0.10           0.10           0.19          -0.12           2.91           2.97           3.05           3.00
                 FUV20140224_190414_0000.fits        2014/02/24T19:04:14            -0.01           0.11           0.23          -0.05           2.91           2.97           3.05           2.99
                 FUV20140224_190914_0000.fits        2014/02/24T19:09:14             0.05           0.12           0.29          -0.11           2.91           2.97           3.05           2.99
                 FUV20140224_191414_0000.fits        2014/02/24T19:14:14             0.11           0.20           0.28           0.03           2.91           2.97           3.05           3.00
                 FUV20140224_191914_0000.fits        2014/02/24T19:19:14             0.06           0.19           0.20           0.03           2.91           2.97           3.05           3.00
                 FUV20140224_192414_0000.fits        2014/02/24T19:24:14             0.04           0.21           0.26          -0.07           2.91           2.97           3.05           3.00
                 FUV20140224_192914_0000.fits        2014/02/24T19:29:14             0.09           0.21           0.24           0.08           2.91           2.97           3.05           2.99
                 FUV20140224_193414_0000.fits        2014/02/24T19:34:14            -0.04           0.19           0.32          -0.01           2.91           2.97           3.05           3.00
                 FUV20140224_193914_0000.fits        2014/02/24T19:39:14             0.04           0.17           0.48          -0.07           2.91           2.97           3.05           2.99
                 FUV20140224_194414_0000.fits        2014/02/24T19:44:14            -0.16           0.19           0.37          -0.09           2.91           2.97           3.05           2.99
                 FUV20140224_194914_0000.fits        2014/02/24T19:49:14             0.00           0.13           0.48          -0.11           2.91           2.97           3.05           2.99
                 FUV20140224_195414_0000.fits        2014/02/24T19:54:14            -0.17           0.14           0.51          -0.04           2.91           2.97           3.05           3.00
                 FUV20140402_163752_0000.fits        2014/04/02T16:37:52            -0.20           0.22           1.43          -0.20           2.91           2.97           3.05           2.99
