#2021/07 Number Pass = 76 (100.000%)
                               file                  time    pass    total5   exptime
            FUV20210708_132833.fits   2021/07/08T13:28:33       1         4      0.13
            FUV20210708_132841.fits   2021/07/08T13:28:41       1        35      1.02
            FUV20210708_132900.fits   2021/07/08T13:29:00       1        72      5.02
            FUV20210708_133017.fits   2021/07/08T13:30:17       1        88     30.02
            FUV20210708_133333.fits   2021/07/08T13:33:33       1        15      0.14
            FUV20210708_133343.fits   2021/07/08T13:33:43       1        42      1.02
            FUV20210708_133401.fits   2021/07/08T13:34:01       1        77      5.02
            FUV20210708_133517.fits   2021/07/08T13:35:17       1        70     30.02
            FUV20210708_133834.fits   2021/07/08T13:38:34       1        44      0.16
            FUV20210708_133843.fits   2021/07/08T13:38:43       1        72      1.03
            FUV20210708_133909.fits   2021/07/08T13:39:09       1        84      5.02
            FUV20210708_134018.fits   2021/07/08T13:40:18       1        78     30.02
            FUV20210708_134332.fits   2021/07/08T13:43:32       1        57      0.13
            FUV20210708_134348.fits   2021/07/08T13:43:48       1        93      1.03
            FUV20210708_134409.fits   2021/07/08T13:44:09       1       113      5.02
            FUV20210708_134517.fits   2021/07/08T13:45:17       1        91     30.02
            FUV20210708_134836.fits   2021/07/08T13:48:36       1        59      0.14
            FUV20210708_134842.fits   2021/07/08T13:48:42       1       159      1.02
            FUV20210708_134900.fits   2021/07/08T13:49:00       1       106      5.02
            FUV20210708_135018.fits   2021/07/08T13:50:18       1        71     30.02
            FUV20210708_135334.fits   2021/07/08T13:53:34       1        25      0.13
            FUV20210708_135341.fits   2021/07/08T13:53:41       1       115      1.02
            FUV20210708_135401.fits   2021/07/08T13:54:01       1        85      5.02
            FUV20210708_135517.fits   2021/07/08T13:55:17       1        83     30.02
            FUV20210708_135833.fits   2021/07/08T13:58:33       1        43      0.13
            FUV20210708_135844.fits   2021/07/08T13:58:44       1       180      1.02
            FUV20210708_135901.fits   2021/07/08T13:59:01       1       126      5.02
            FUV20210708_140018.fits   2021/07/08T14:00:18       1        77     30.02
            FUV20210708_140335.fits   2021/07/08T14:03:35       1        35      0.13
            FUV20210708_140343.fits   2021/07/08T14:03:43       1        68      1.02
            FUV20210708_140400.fits   2021/07/08T14:04:00       1       112      5.02
            FUV20210708_140517.fits   2021/07/08T14:05:17       1        64     30.02
            FUV20210708_140836.fits   2021/07/08T14:08:36       1         9      0.14
            FUV20210708_140844.fits   2021/07/08T14:08:44       1        66      1.02
            FUV20210708_140901.fits   2021/07/08T14:09:01       1        86      5.02
            FUV20210708_141017.fits   2021/07/08T14:10:17       1        96     30.02
            FUV20210708_141334.fits   2021/07/08T14:13:34       1         9      0.13
            FUV20210708_141342.fits   2021/07/08T14:13:42       1        28      1.02
            FUV20210708_141401.fits   2021/07/08T14:14:01       1        77      5.02
            FUV20210708_141518.fits   2021/07/08T14:15:18       1        92     30.02
            FUV20210708_141836.fits   2021/07/08T14:18:36       1         5      0.14
            FUV20210708_141844.fits   2021/07/08T14:18:44       1        40      1.02
            FUV20210708_141900.fits   2021/07/08T14:19:00       1       107      5.02
            FUV20210708_142017.fits   2021/07/08T14:20:17       1       102     30.02
            FUV20210708_142336.fits   2021/07/08T14:23:36       1        20      0.14
            FUV20210708_142344.fits   2021/07/08T14:23:44       1        48      1.02
            FUV20210708_142409.fits   2021/07/08T14:24:09       1        93      5.02
            FUV20210708_142517.fits   2021/07/08T14:25:17       1       100     30.02
            FUV20210708_142833.fits   2021/07/08T14:28:33       1        46      0.13
            FUV20210708_142844.fits   2021/07/08T14:28:44       1        47      1.02
            FUV20210708_142901.fits   2021/07/08T14:29:01       1       137      5.02
            FUV20210708_143017.fits   2021/07/08T14:30:17       1        70     30.02
            FUV20210708_143333.fits   2021/07/08T14:33:33       1        88      0.13
            FUV20210708_143341.fits   2021/07/08T14:33:41       1       106      1.02
            FUV20210708_143400.fits   2021/07/08T14:34:00       1       147      5.02
            FUV20210708_143518.fits   2021/07/08T14:35:18       1        78     30.02
            FUV20210708_143833.fits   2021/07/08T14:38:33       1        64      0.14
            FUV20210708_143841.fits   2021/07/08T14:38:41       1       104      1.02
            FUV20210708_143909.fits   2021/07/08T14:39:09       1       141      5.02
            FUV20210708_144017.fits   2021/07/08T14:40:17       1        85     30.02
            FUV20210708_144332.fits   2021/07/08T14:43:32       1        76      0.13
            FUV20210708_144341.fits   2021/07/08T14:43:41       1       170      1.02
            FUV20210708_144400.fits   2021/07/08T14:44:00       1       130      5.02
            FUV20210708_144518.fits   2021/07/08T14:45:18       1        86     30.02
            FUV20210708_144837.fits   2021/07/08T14:48:37       1        38      0.14
            FUV20210708_144848.fits   2021/07/08T14:48:48       1       127      1.03
            FUV20210708_144900.fits   2021/07/08T14:49:00       1       140      5.02
            FUV20210708_145019.fits   2021/07/08T14:50:19       1        83     30.02
            FUV20210708_145339.fits   2021/07/08T14:53:39       1        18      0.17
            FUV20210708_145343.fits   2021/07/08T14:53:43       1        59      1.03
            FUV20210708_145400.fits   2021/07/08T14:54:00       1       106      5.02
            FUV20210708_145519.fits   2021/07/08T14:55:19       1        91     30.02
            FUV20210708_145835.fits   2021/07/08T14:58:35       1        12      0.16
            FUV20210708_145844.fits   2021/07/08T14:58:44       1        37      1.02
            FUV20210708_145900.fits   2021/07/08T14:59:00       1       118      5.02
            FUV20210708_150017.fits   2021/07/08T15:00:17       1       109     30.02
