#2020/05 Number Pass = 75 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20200513_223355.fits   2020/05/13T22:33:55       1        10      0.09
            NUV20200513_223400.fits   2020/05/13T22:34:00       1        77      1.02
            NUV20200513_223428.fits   2020/05/13T22:34:28       1        75      5.02
            NUV20200513_223505.fits   2020/05/13T22:35:05       1        74     30.02
            NUV20200513_223851.fits   2020/05/13T22:38:51       1        42      0.06
            NUV20200513_223905.fits   2020/05/13T22:39:05       1       154      1.03
            NUV20200513_223928.fits   2020/05/13T22:39:28       1        73      5.02
            NUV20200513_224005.fits   2020/05/13T22:40:05       1        47     30.02
            NUV20200513_224359.fits   2020/05/13T22:43:59       1        83      0.05
            NUV20200513_224428.fits   2020/05/13T22:44:28       1       102      5.02
            NUV20200513_224506.fits   2020/05/13T22:45:06       1        73     30.02
            NUV20200513_224851.fits   2020/05/13T22:48:51       1        41      0.08
            NUV20200513_224902.fits   2020/05/13T22:49:02       1        95      1.02
            NUV20200513_224928.fits   2020/05/13T22:49:28       1        72      5.02
            NUV20200513_225006.fits   2020/05/13T22:50:06       1        60     30.02
            NUV20200513_225356.fits   2020/05/13T22:53:56       1        38      0.10
            NUV20200513_225402.fits   2020/05/13T22:54:02       1       107      1.03
            NUV20200513_225428.fits   2020/05/13T22:54:28       1        98      5.02
            NUV20200513_225506.fits   2020/05/13T22:55:06       1        58     30.02
            NUV20200513_225852.fits   2020/05/13T22:58:52       1        10      0.09
            NUV20200513_225902.fits   2020/05/13T22:59:02       1        72      1.02
            NUV20200513_225927.fits   2020/05/13T22:59:27       1        53      5.02
            NUV20200513_230006.fits   2020/05/13T23:00:06       1        60     30.02
            NUV20200513_230359.fits   2020/05/13T23:03:59       1        11      0.05
            NUV20200513_230402.fits   2020/05/13T23:04:02       1        34      1.02
            NUV20200513_230428.fits   2020/05/13T23:04:28       1        43      5.02
            NUV20200513_230504.fits   2020/05/13T23:05:04       1        57     30.02
            NUV20200513_230850.fits   2020/05/13T23:08:50       1         9      0.05
            NUV20200513_230901.fits   2020/05/13T23:09:01       1        47      1.04
            NUV20200513_230928.fits   2020/05/13T23:09:28       1        49      5.02
            NUV20200513_231006.fits   2020/05/13T23:10:06       1        68     30.02
            NUV20200513_231351.fits   2020/05/13T23:13:51       1       152      0.06
            NUV20200513_231402.fits   2020/05/13T23:14:02       1        30      1.04
            NUV20200513_231428.fits   2020/05/13T23:14:28       1        50      5.02
            NUV20200513_231506.fits   2020/05/13T23:15:06       1        72     30.02
            NUV20200513_231852.fits   2020/05/13T23:18:52       1        12      0.05
            NUV20200513_231900.fits   2020/05/13T23:19:00       1        35      1.02
            NUV20200513_231928.fits   2020/05/13T23:19:28       1        47      5.02
            NUV20200513_232004.fits   2020/05/13T23:20:04       1        49     30.02
            NUV20200513_232351.fits   2020/05/13T23:23:51       1        47      0.06
            NUV20200513_232402.fits   2020/05/13T23:24:02       1       131      1.03
            NUV20200513_232428.fits   2020/05/13T23:24:28       1        74      5.02
            NUV20200513_232505.fits   2020/05/13T23:25:05       1        65     30.02
            NUV20200513_232856.fits   2020/05/13T23:28:56       1        47      0.09
            NUV20200513_232901.fits   2020/05/13T23:29:01       1        83      1.04
            NUV20200513_232928.fits   2020/05/13T23:29:28       1        95      5.02
            NUV20200513_233005.fits   2020/05/13T23:30:05       1        67     30.02
            NUV20200513_233359.fits   2020/05/13T23:33:59       1        26      0.05
            NUV20200513_233401.fits   2020/05/13T23:34:01       1       150      1.04
            NUV20200513_233428.fits   2020/05/13T23:34:28       1        88      5.02
            NUV20200513_233505.fits   2020/05/13T23:35:05       1        67     30.02
            NUV20200513_233850.fits   2020/05/13T23:38:50       1        52      0.05
            NUV20200513_233904.fits   2020/05/13T23:39:04       1       132      1.05
            NUV20200513_233928.fits   2020/05/13T23:39:28       1       104      5.02
            NUV20200513_234008.fits   2020/05/13T23:40:08       1        51     30.02
            NUV20200513_234350.fits   2020/05/13T23:43:50       1        26      0.11
            NUV20200513_234404.fits   2020/05/13T23:44:04       1       100      1.03
            NUV20200513_234428.fits   2020/05/13T23:44:28       1        65      5.02
            NUV20200513_234506.fits   2020/05/13T23:45:06       1        53     30.02
            NUV20200513_234851.fits   2020/05/13T23:48:51       1         7      0.06
            NUV20200513_234901.fits   2020/05/13T23:49:01       1        22      1.04
            NUV20200513_234928.fits   2020/05/13T23:49:28       1        52      5.02
            NUV20200513_235006.fits   2020/05/13T23:50:06       1        65     30.02
            NUV20200513_235351.fits   2020/05/13T23:53:51       1        13      0.05
            NUV20200513_235402.fits   2020/05/13T23:54:02       1        23      1.02
            NUV20200513_235428.fits   2020/05/13T23:54:28       1        47      5.02
            NUV20200513_235505.fits   2020/05/13T23:55:05       1        52     30.02
            NUV20200513_235850.fits   2020/05/13T23:58:50       1       151      0.05
            NUV20200513_235902.fits   2020/05/13T23:59:02       1       266      1.05
            NUV20200513_235928.fits   2020/05/13T23:59:28       1       165      5.02
            NUV20200514_000006.fits   2020/05/14T00:00:06       1        91     30.02
            NUV20200514_000359.fits   2020/05/14T00:03:59       1         9      0.05
            NUV20200514_000401.fits   2020/05/14T00:04:01       1        41      1.04
            NUV20200514_000428.fits   2020/05/14T00:04:28       1        59      5.02
            NUV20200514_000506.fits   2020/05/14T00:05:06       1        45     30.02
